3,7,8,5,8,8,6,Windows
1,2,5,10,10,4,7,Amiga OS
7,7,2,7,1,5,7,Amiga OS
10,5,6,10,3,2,7,Amiga OS
3,1,7,4,7,9,7,Amiga OS
4,5,4,5,8,4,7,Amiga OS
6,4,3,9,1,5,7,Amiga OS
3,2,9,3,7,9,7,Amiga OS
5,8,5,2,8,9,7,Amiga OS
6,9,4,2,5,1,7,Amiga OS
5,7,1,7,8,2,7,Amiga OS
7,8,7,5,6,9,7,Amiga OS
5,8,5,10,6,6,7,Amiga OS
7,5,7,2,4,9,7,Amiga OS
10,1,7,2,1,2,7,Amiga OS
6,5,1,9,9,5,7,Amiga OS
7,1,9,7,1,10,7,Amiga OS
10,6,10,8,8,6,7,Amiga OS
10,8,9,5,8,6,7,Amiga OS
4,3,3,4,5,5,7,Amiga OS
4,10,7,3,9,6,7,Amiga OS
6,7,5,10,5,4,7,Linux
3,3,5,10,9,2,7,Linux
2,2,1,10,3,5,7,Linux
10,1,7,10,6,3,7,Linux
9,3,5,10,7,1,7,Linux
10,3,7,10,8,9,7,Linux
6,2,7,10,1,6,7,Linux
5,6,4,10,8,7,7,Linux
8,2,1,10,10,1,7,Linux
10,4,4,10,6,2,7,Linux
8,10,4,10,5,9,7,Linux
10,8,2,10,10,3,7,Linux
9,8,1,10,10,9,7,Linux
1,8,5,10,10,10,7,Linux
5,7,10,10,5,10,7,Linux
9,7,7,10,3,3,7,Linux
4,5,5,10,3,5,7,Linux
6,2,8,10,4,5,7,Linux
6,9,2,1,5,1,7,Linux
5,8,1,2,10,8,7,Linux
8,8,3,3,3,2,7,Linux
4,10,10,1,10,10,7,Linux
2,8,8,9,5,2,7,Linux
9,5,7,7,2,4,7,Linux
9,1,3,7,4,4,7,Linux
3,3,1,5,4,5,7,Linux
2,9,6,2,9,3,7,Linux
8,5,2,8,8,2,7,Linux
4,3,5,3,1,5,7,Linux
6,7,7,1,1,6,7,Linux
1,6,4,6,2,3,7,Linux
4,3,2,3,1,3,7,Linux
9,3,9,5,7,4,7,Linux
7,1,7,6,9,5,7,Linux
3,1,10,4,2,5,7,Linux
4,3,8,10,9,3,7,Linux
10,1,9,1,4,2,7,Linux
2,6,8,10,8,7,7,Linux
7,6,1,4,9,6,7,Linux
9,1,6,9,6,7,7,Linux
1,1,8,7,3,4,7,Linux
10,3,2,2,3,7,7,Linux
2,3,9,6,3,2,7,Linux
5,2,3,9,8,5,7,Linux
1,9,2,9,10,10,7,Linux
10,4,9,3,6,8,7,Linux
9,7,4,6,1,1,7,Linux
7,6,8,9,2,2,7,Linux
10,2,2,10,2,1,7,Linux
6,10,9,7,7,3,7,Linux
10,2,5,10,3,10,7,Linux
9,7,2,3,9,3,7,Linux
8,5,9,2,7,7,7,Linux
4,9,2,2,9,6,7,Linux
9,6,8,6,10,5,7,Linux
3,7,4,2,1,6,7,Linux
2,2,9,7,7,3,7,Linux
6,4,7,1,10,6,7,Linux
7,4,6,3,8,1,7,Linux
9,6,10,10,8,9,7,Mac OS
9,3,9,1,6,2,7,Mac OS
9,7,5,2,8,6,7,Mac OS
9,5,8,4,9,8,7,Mac OS
9,5,5,5,10,3,7,Mac OS
9,2,4,8,2,8,7,Mac OS
9,2,5,2,7,8,7,Mac OS
9,2,10,8,5,3,7,Mac OS
9,10,8,2,7,2,7,Mac OS
9,5,5,10,1,2,7,Mac OS
9,7,1,3,4,1,7,Mac OS
9,5,6,8,4,9,7,Mac OS
9,5,2,10,2,6,7,Mac OS
9,7,9,7,3,6,7,Mac OS
9,7,4,7,5,9,7,Mac OS
9,5,10,8,8,7,7,Mac OS
9,6,4,8,9,4,7,Mac OS
9,10,8,8,9,2,7,Mac OS
9,7,2,8,4,9,7,Mac OS
9,10,4,8,2,9,7,Mac OS
9,8,4,9,5,4,7,Mac OS
9,9,6,10,6,10,7,Mac OS
9,8,4,4,4,3,7,Mac OS
9,3,4,6,4,5,7,Mac OS
9,2,9,10,4,6,7,Mac OS
9,5,9,1,9,3,7,Mac OS
9,1,2,9,5,6,7,Mac OS
9,1,7,6,9,7,7,Mac OS
9,10,10,5,1,3,7,Mac OS
9,2,4,1,4,1,7,Mac OS
9,1,7,5,4,1,7,Mac OS
9,7,10,4,3,4,7,Mac OS
9,9,4,8,5,6,7,Mac OS
9,5,1,9,8,3,7,Mac OS
9,10,2,3,3,6,7,Mac OS
9,8,5,8,4,6,7,Mac OS
9,2,9,1,10,7,7,Mac OS
